"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",9
"9",10
"10",11
"11",12
"12",13
"13",14
"14",15
"15",16
"16",17
"17",18
"18",19
"19",20
"20",21
"21",69
"22",70
"23",71
"24",72
"25",73
"26",74
"27",75
"28",76
"29",77
"30",78
"31",79
"32",80
"33",81
"34",82
"35",83
"36",84
"37",85
"38",86
"39",87
"40",88
"41",89
"42",90
"43",91
"44",92
"45",93
"46",94
"47",95
"48",96
"49",97
"50",98
"51",99
"52",100
"53",101
"54",102
"55",103
"56",104
"57",105
"58",106
"59",107
"60",108
"61",109
"62",110
"63",111
"64",112
"65",113
"66",114
"67",115
"68",116
"69",117
"70",118
"71",119
"72",120
"73",121
"74",122
"75",123
"76",124
"77",162
"78",163
"79",164
"80",165
"81",166
"82",167
"83",168
"84",169
"85",170
"86",171
"87",172
"88",173
"89",174
"90",175
"91",176
"92",177
"93",178
"94",179
"95",180
"96",181
"97",182
"98",183
"99",184
"100",185
"101",186
"102",187
"103",188
"104",189
"105",236
"106",237
"107",238
"108",239
"109",240
"110",241
"111",242
"112",243
"113",290
"114",291
"115",292
"116",293
"117",294
"118",295
"119",296
"120",297
"121",343
"122",344
"123",345
"124",346
"125",347
"126",348
"127",349
"128",395
"129",396
"130",397
"131",398
"132",399
"133",400
"134",446
"135",447
"136",448
"137",449
"138",450
"139",451
"140",496
"141",497
"142",498
"143",499
"144",500
"145",545
"146",546
"147",547
"148",548
"149",549
"150",593
"151",594
"152",595
"153",596
"154",597
"155",640
"156",641
"157",642
"158",643
"159",686
"160",687
"161",688
"162",689
"163",731
"164",732
"165",733
"166",734
"167",775
"168",776
"169",777
"170",778
"171",779
"172",818
"173",819
"174",820
"175",821
"176",860
"177",861
"178",862
"179",863
"180",864
"181",901
"182",902
"183",903
"184",904
"185",905
"186",941
"187",942
"188",943
"189",944
"190",945
"191",980
"192",981
"193",982
"194",983
"195",984
"196",985
"197",1018
"198",1019
"199",1020
"200",1021
"201",1022
"202",1023
"203",1024
"204",1055
"205",1056
"206",1057
"207",1058
"208",1059
"209",1060
"210",1061
"211",1062
"212",1091
"213",1092
"214",1093
"215",1094
"216",1095
"217",1096
"218",1097
"219",1098
"220",1126
"221",1127
"222",1128
"223",1129
"224",1130
"225",1131
"226",1132
"227",1133
"228",1160
"229",1161
"230",1162
"231",1163
"232",1164
"233",1165
"234",1166
"235",1167
"236",1168
"237",1169
"238",1193
"239",1194
"240",1195
"241",1196
"242",1197
"243",1198
"244",1199
"245",1200
"246",1201
"247",1202
"248",1225
"249",1226
"250",1227
"251",1228
"252",1229
"253",1230
"254",1231
"255",1232
"256",1233
"257",1234
"258",1256
"259",1257
"260",1258
"261",1259
"262",1260
"263",1261
"264",1262
"265",1263
"266",1264
"267",1265
"268",1266
"269",1286
"270",1287
"271",1288
"272",1289
"273",1290
"274",1291
"275",1292
"276",1293
"277",1294
"278",1295
"279",1296
"280",1315
"281",1316
"282",1317
"283",1318
"284",1319
"285",1320
"286",1321
"287",1322
"288",1323
"289",1324
"290",1325
"291",1326
"292",1343
"293",1344
"294",1345
"295",1346
"296",1347
"297",1348
"298",1349
"299",1350
"300",1351
"301",1352
"302",1353
"303",1354
"304",1355
"305",1370
"306",1371
"307",1372
"308",1373
"309",1374
"310",1375
"311",1376
"312",1377
"313",1378
"314",1379
"315",1380
"316",1381
"317",1382
"318",1383
"319",1396
"320",1397
"321",1398
"322",1399
"323",1400
"324",1401
"325",1402
"326",1403
"327",1404
"328",1405
"329",1406
"330",1407
"331",1408
"332",1409
"333",1410
"334",1421
"335",1422
"336",1423
"337",1424
"338",1425
"339",1426
"340",1427
"341",1428
"342",1429
"343",1430
"344",1431
"345",1432
"346",1433
"347",1434
"348",1435
"349",1445
"350",1446
"351",1447
"352",1448
"353",1449
"354",1450
"355",1451
"356",1452
"357",1453
"358",1454
"359",1455
"360",1456
"361",1457
"362",1458
"363",1459
"364",1468
"365",1469
"366",1470
"367",1471
"368",1472
"369",1473
"370",1474
"371",1475
"372",1476
"373",1477
"374",1478
"375",1479
"376",1480
"377",1481
"378",1482
"379",1490
"380",1491
"381",1492
"382",1493
"383",1494
"384",1495
"385",1496
"386",1497
"387",1498
"388",1499
"389",1500
"390",1501
"391",1502
"392",1503
"393",1504
"394",1505
"395",1511
"396",1512
"397",1513
"398",1514
"399",1515
"400",1516
"401",1517
"402",1518
"403",1519
"404",1520
"405",1521
"406",1522
"407",1523
"408",1524
"409",1525
